City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Atlanta,GA,State of emergency,Mayor Keisha Bottoms,Quarantines and forced closures,3/16/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,moratorium on residential evictions,Mayor Keisha Bottoms,Not sure,3/17/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,"emergency assistance to food programs for children and seniors, homeless preparedness, support to small businesses, assistance to hourly wage earners and other areas adversely impacted by COVID-19",Mayor Keisha Bottoms,Not sure,3/18/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,reduce Concessionaire and Car Rental Company rental requirements,Mayor Keisha Bottoms,Not sure,3/18/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,closed City Hall to essential and non-essential employees,Mayor Keisha Bottoms,Quarantines and forced closures,3/18/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,"closure of all bars and nightclubs that do not serve food, gyms and fitness centers, movie theaters, live performance venues, bowling alleys, and arcades, and private social clubs, located within the territorial jurisdictional limits of the City of Atlanta. However, restaurants and other eating and drinking establishments where food is served may continue preparing and offering food to customers via delivery service, drive-through, or take-out. The second action suspends the booting and towing of vehicles in the City right of way",Mayor Keisha Bottoms,Quarantines and forced closures,3/19/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,refrain from enforcing prohibitions against the sale of unopened wine or malt beverages,Mayor Keisha Bottoms,Not sure,3/20/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,shelter at home order,Mayor Keisha Bottoms,Quarantines and forced closures,3/23/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,"postpone all meetings of City of Atlanta boards, authorities, commissions, committees or similar bodies",Mayor Keisha Bottoms,Quarantines and forced closures,3/24/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,institution of a hazard pay policy for front-line City employees,Mayor Keisha Bottoms,Elected/public officials,3/31/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,"website that will serve as a COVID-19 resource hub for Atlanta residents. By visiting ATLSTRONG.ORG, residents and business can sign up for COVID-19 text alerts, and request information on emergency fund assistance relief",Mayor Keisha Bottoms,Not sure,3/26/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,donation campaign led by the Mayor’s Office in partnership with United Way of Greater Atlanta to support City of Atlanta residents experiencing economic hardships and health-related issues caused by COVID-19,Mayor Keisha Bottoms,Not sure,3/31/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,"rent relief efforts for seniors, families, and other residents who live in AH-owned or subsidized units",Mayor Keisha Bottoms,Not sure,4/7/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlanta,GA,"($1,500,000.00) to provide additional individual shelter options with supportive services for people experiencing homelessness",Mayor Keisha Bottoms,Not sure,4/8/2020,https://www.atlantaga.gov/government/mayor-s-office/city-of-atlanta-covid-19-response,,,,
Atlantic Beach,NC,"All four Crystal Coast beaches in North Carolina will soon be reopening, after being closed because of COVID-19. Atlantic Beach says the temporary restriction on recreational water access will be lifted on Friday. Emerald Isle will lift their restrictions on Saturday.",Mayor Trace Cooper,Quarantines and forced closures,4/16/2020,https://www.wbtv.com/2020/04/16/nc-crystal-coast-beaches-reopening-residents-only/,,,gwilly56@mac.com,
Augusta,GA,"suspending public access and activities at all recreation facilities, government buildings and community centers, closing libraries and senior centers","Mayor Hardie Davis, Jr.",Quarantines and forced closures,3/16/2020,https://www.augustaga.gov/2785/COVID-19-Updates,,,,
Augusta,GA,State of emergency,"Mayor Hardie Davis, Jr.",Quarantines and forced closures,3/20/2020,https://www.augustaga.gov/2785/COVID-19-Updates,,,,
Augusta,GA,"restrict entertainment venues, gyms and fitness studios, body care, convention centers, and dine-in activity at bars and restaurants, and public events and private gatherings that would violate the Centers for Disease Control and Prevention (CDC) recommendation","Mayor Hardie Davis, Jr.",Quarantines and forced closures,3/21/2020,https://www.augustaga.gov/2785/COVID-19-Updates,,,,
Augusta,GA,implemented an Extreme Condition Hazard Pay Policy for the City’s frontline staff members,"Mayor Hardie Davis, Jr.",Not sure,4/6/2020,https://www.augustaga.gov/2785/COVID-19-Updates,,,,
Augusta,GA,2020 Masters postponed,"Fred Ridley, Chairman of Augusta National Golf Club",Quarantines and forced closures,3/13/2020,https://www.masters.com/en_US/news/articles/2020-03-13/2020_masters_tournament_postponed.html,,,,
Augusta,GA,"City voted to end hazard pay for first responders and essential employees beginning May 1st, in response to state reopening economy",Augusta City Commission,Not sure,4/22/2020,https://www.ems1.com/coronavirus-covid-19/articles/ga-city-ends-hazard-pay-as-state-plans-to-reopen-MpnnfF6Q5tTZyLHn/,,,,INT
Austin and Travis County,TX,"Public Health Order for people to stay at home with the exception of essential work and activities, closure of non-essential businesses","Mayor Steve Adler, County Judge Sarah Eckhardt",Quarantines and forced closures,3/24/2020,http://www.austintexas.gov/news/stay-home-orders-announced-further-contain-spread-covid-19,,,,
Ayden,NC,Town response ,UNK,Not sure,,https://www.wnct.com/community/health/coronavirus/town-of-ayden-responds-to-covid-19/,,,gwilly56@mac.com,
Baltimore,MD,Baltimore Mayor Young announces $5.5 million small business initiative to help with coronavirus recovery,Mayor Bernard C. “Jack” Young,Not sure,4/23/2020,https://www.baltimoresun.com/coronavirus/bs-md-small-business-recovery-20200423-g5thtxggdbap5b5v35j2qpfbqa-story.html,,,INT,
Beaufort,NC,Town is roadblocked and limiting access; potentially reducing closures and gatherings,Town Manager?,Not sure,4/16/2020,https://www.beaufortnc.org/community/page/coronavirus-information-resources,,,gwilly56@mac.com,
Belchertown,MA,State of emergency,Board of Selectmen of Belchertown,Elected/public officials,3/18/2020,https://www.belchertown.org/PressRelease3-20-2020.pdf,,,,
Beloit,WI,"Beloit Health System announces no visitors allowed with these exceptions:  Pediatric 2; women in labor, 1 & end of life case by case",Beloit Health System ,Quarantines and forced closures,3/20/2020,https://beloithealthsystem.org/news/beloit-health-system-new-visitor-restrictions-effective-immediately,,,Brenda Kelley bjkelleylady@gmail.com,
Benton,AK,Stay at Home' order to minors for 120 days,city of Benton and Saline County,Quarantines and forced closures,4/3/2020,https://katv.com/news/coronavirus/the-city-of-benton-issued-stay-at-home-order-to-minors-for-120-days-due-to-pandemic,,,,
Beverly Hills,CA,All residents must cover face when outside,Mayor Lester Friedman,Elected/public officials,4/10/2020,https://www.cnn.com/world/live-news/coronavirus-pandemic-04-11-20/h_cca016c46c23f7ba6a185c74b348466f,,,,
Birmingham,AL,Shelter in place policy. The city council passed an ordinance on April 3. Don't know the initial period but as of 4/17 it lasts through 4/30/2020,Mayor Randall L. Woodfin,Quarantines and forced closures,3/24/2020,https://www.birminghamal.gov/2020/03/25/frequently-asked-questions-about-birminghams-shelter-in-place-ordinance/,https://www.birminghamal.gov/coronavirus,,JAR,
Bismarck,ND,Announcement and kickoff of Homebody Hero that encourages citizens to stay home,Bismarck-Burleigh Public Health,Not sure,4/7/2020,https://www.bismarcknd.gov/CivicAlerts.aspx?AID=6606,,,,
Bismarck,ND,Recommendation to constituents to follow CDC guidelines and start using cloth face coverings when going outside,Bismarck-Burleigh Public Health,Not sure,4/6/2020,https://www.bismarcknd.gov/CivicAlerts.aspx?AID=6604,,,,
Bismark,ND,The Bismark city officials have unanimously canceled the annual spring cleanup week due to Coronavirus. They instead offered free disposal at city landfill.,Bismark City commissioners,Quarantines and forced closures,4/14/2020,https://bismarcktribune.com/news/local/bismarck/bismarck-cancels-spring-cleanup-week-due-to-covid-19-offers-free-disposal-instead/article_fde0f42d-d61b-5395-ae60-ea1b8c20236a.html,,,,
Bismark,ND,Bismark YMCA offers emergency child care.,Bismark YMCA's Youth Development Center,Not sure,4/15/2020,https://bismarcktribune.com/news/local/health/north-dakota-coronavirus-news-april-15-bismarck-ymca-offers-emergency-child-care/article_2f5eefee-bdca-5f60-8d50-40464380c4c5.html,,,,
Bloomington,IN,Isolation Centers to open for people experiencing homelessness ,"Four Monroe County organizations, Shalom Community Center, Wheeler Mission, New Hope Family Shelter and Middle Way House,",Quarantines and forced closures,3/24/2020,https://www.idsnews.com/article/2020/03/shelters-provide-covid-19-isolation-center-for-people-experiencing-homelessness,,,INT,
Blount County,AL,"Restaurants not allowed to serve in premises. Private and pre-schools closed. Senior Centers not allowed to have gatherings, All gatherings >25 people banned. Nursing homes not allowed to have visitors",Alabama Department of Public Health,Quarantines and forced closures,3/17/2020,https://www.tuscaloosa.com/posts/2020/03/17/alabama-department-of-public-health-order-regarding-covid-19,,,JAR,
Boston,MA,All parks and playgrounds shutdown temporarily effective March 23,Boston Parks and Recreation,Quarantines and forced closures,3/17/2020,https://www.boston.gov/news/coronavirus-covid-19-updates-boston-parks-and-recreation,,,INT,
Boston,MA,"All Boston city construction suspended, Boston public libraries closed, and Boston Youth and Family Centers closed",Mayor Martin J. Walsh,Quarantines and forced closures,3/16/2020,https://www.boston.gov/news/construction-activity-be-suspended-city-library-locations-bcyf-centers-close,,,INT,
Boston,MA,MBTA reduces service,Massachusetts Bay Transportation Authority,Quarantines and forced closures,3/30/2020,https://www.mbta.com/covid19,,,INT,
Boston,MA,Mayor recommends 9 p.m. curfew for Boston residents,Mayor Marty Walsh,Elected/public officials,4/5/2020,https://www.nbcboston.com/news/local/coronavirus-in-boston-walsh-to-provide-update-to-response/2102827/,,,INT,
Boston,MA,Mayor asks all to wear masks outside,Mayor Marty Walsh,Elected/public officials,4/5/2020,https://www.bostonglobe.com/2020/04/05/nation/walsh-announce-stricter-coronavirus-guidelines-says-he-is-weighing-curfew/,,,INT,
Boston,MA,$3 million in assistance for renters and $2 million for small business,Boston Mayor Martin Walsh,Not sure,4/2/2020,https://www.bostonherald.com/2020/04/02/boston-announces-coronavirus-3m-rent-2m-business-assistance-programs/,,,INT,
Boston,MA,Boston issued curfew advisory 9 pm- 6 am beginning April 6 and advising the usage of face protection whenever residents step outside of the house.,Philadelphia Industrial Development Corporation,Quarantines and forced closures,3/5/2020,https://www.boston25news.com/news/health/coronavirus-updates-mayor-walsh-announces-curfew-advisory-15-new-covid-19-deaths-764-positive-cases-announced-mass/FW42BBRJ2VFN5B34FSO46HU3AY/,,,INT,
Boston,MA,Announcement of new mobile testing map to find testing centers in Boston neighborhoods,Mayor Marty Walsh,Elected/public officials,4/20/2020,https://www.boston.com/news/local-news/2020/04/20/latest-news-live-updates-outbreak-covid-19-massachusetts-new-england,,,,
Boulder ,CO,737 Municipal employees furloughed,City of Boulder,Elected/public officials,4/14/2020,https://www.dailycamera.com/2020/04/14/boulder-furloughing-737-city-employees-beginning-april-20/,,,debistobie@gmail.com,
Brandon,SD,"Gates Corporation is shutting down its Brandon manufacturing plant from April 20-24, after nine employees tested positive for COVID-19. Economic reasons cited for shut-down. Plans to reopen April 27.",Gates Corporation,Quarantines and forced closures,4/17/2020,https://www.keloland.com/news/healthbeat/coronavirus/9-employees-positive-for-covid-19-but-brandon-manufacturer-says-its-shutting-down-due-to-economic-slowdown/,,,,
Brick Township,NJ,Grace period for property tax payment due May 1 extended to May 31,Mayor Ducey and Township Council,Not sure,5/1/2020,http://www.bricktownship.net/index.php/2020/04/township-extends-grace-period-for-property-tax-payments/,,,,
Brighton,CO,Man arrested for being in Park not social distancing,Brighton Police,Elected/public officials,3/5/2020,https://kdvr.com/news/man-arrested-in-front-of-daughter-at-brighton-park-for-allegedly-violating-social-distancing/,,,debistobie@gmail.com,
Brookings,SD,"ll City and County facilities and offices, as well as County or City-operated businesses and organizations to the public (with a few exceptions) are closed",Brookings County and the City of Brookings,Quarantines and forced closures,3/18/2020,http://cityofbrookings.org/646/Coronavirus-COVID-19-Info,,,,
Brookings,SD,"The Brookings Public Library is closed to the public. The Library has also suspended all Library-sponsored programs, classes, and events. Curbside pickup of books will being 4/20/2020",Brookings Library,Quarantines and forced closures,4/20/2020,http://cityofbrookings.org/646/Coronavirus-COVID-19-Info,,,,
Broomfield,CO,235 Broomfield city and county employees furloughed,City and County of Broomfield,Elected/public officials,4/8/2020,https://www.dailycamera.com/2020/04/08/broomfield-furloughing-235-employees-as-coronavirus-impacts-budget/,,,debistobie@gmail.com,
Buckeye,AZ,Inmates were released from prison and will be housed at Hickman Family Farms (where they already were working) to help in the production of eggs.,"Paul Penzone, Maricopa County Sheriff",Not sure,3/25/2020,https://www.azcentral.com/story/news/local/southwest-valley/2020/03/25/arizona-female-inmates-stay-hickmans-family-farms-during-coronavirus-pandemic/5080548002/,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/around-inmates-will-be-relocated-to-hickman-s-family-farms/article_4a0116d4-6ec4-11ea-81dc-ff8dba2a42ed.html,,,
Burlington,VT,Grant program for small businesses hurt by COVID-19,Mayor Miro Weinberger,Elected/public officials,3/30/2020,https://vtdigger.org/2020/03/30/burlington-announces-110000-fund-for-small-business-hurt-during-covid-19/?is_wppwa=true&wpappninja_cache=friendly,,,INT,
Burlington,,"Playground equipment, including Skate Park, is now closed for use.
Gatherings of 10 or more people are strongly discouraged until further notice.
Individuals are recommended to not leave their home or place of residence, except to conduct or participate in essential activities.
Solid Waste will continue to allow one extra 33 gallon (limit 40 lb) container of household waste to be collected at no additional cost to citizen.",Mayor John Billups,Quarantines and forced closures,4/7/2020,https://www.burlingtoniowa.org/DocumentCenter/View/3419/Emergency-Proclamation?bidId=,,,,
Burlington,VT,Burlington City Council asks Gov. Scott to ground F-35s during coronavirus pandemic,City Council,Quarantines and forced closures,4/13/2020,https://www.burlingtonfreepress.com/story/news/2020/04/13/burlington-city-council-asks-gov-scott-ground-f-35-s-during-coronavirus-pandemic/2984661001/,,,"David Blatt, dblattok@gmail.com",
Burlington,VT,"Burlington Will Check Essential Workers' Temperatures, Distributes Thermometers",City of Burlington,Not sure,3/31/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/04/03/coronavirus-updates-in-vermont-week-of-march-30,,,David Blatt,
Burlington,VY,Green Mountain Transit offers free bus rides indefinitely,Green Mountain Transit,Not sure,3/30/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/04/03/coronavirus-updates-in-vermont-week-of-march-30,,,David Blatt,
Burlington,VT,Burlington Stops Issuing Marriage Certificates,Mayor Miro Weinberger,Elected/public officials,3/30/0202,https://www.sevendaysvt.com/OffMessage/archives/2020/04/03/coronavirus-updates-in-vermont-week-of-march-30,,,David Blatt,
Burlington,VT,Burlington Library Suspends Pickup Program,Library Director Mary Danko,Elected/public officials,3/25/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/03/29/the-latest-updates-on-coronavirus-in-vermont?cb=1585604537,,,David Blatt,
Burlington,VT,"Burlington Won't Disconnect Utilities, Mayor Calls for Halt to Evictions",Mayor Miro Weinberger,Elected/public officials,3/16/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/03/29/the-latest-updates-on-coronavirus-in-vermont?cb=1585604537&page=2,,,David Blatt,
Burlington,VT,"Burlington will close or restrict access to city buildings until at least April 6. In addition, all city board and commission meetings are canceled through March except City Council and Board of Finance meetings, which will be held virtually.",Mayor Miro Weinberger,Elected/public officials,3/16/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/03/29/the-latest-updates-on-coronavirus-in-vermont?cb=1585604537&page=2,,,David Blatt,
Burlington,VT,Burlington distributes thousands of face masks,Mayor Miro Weinberger,,4/17/2020,https://vtdigger.org/liveblog/burlington-distributes-thousands-of-face-masks/,,,David Blatt,
Burlington,VT,Green Mountain Transit is reducing the number of buses it runs along certain routes and operating fare free in response to the coronavirus pandemic. It is also closing the Downtown Transit Center in Burlington and the Montpelier Transit Center until further notice,Green Mountain Transit,Quarantines and forced closures,4/2/2020,https://vtdigger.org/liveblog/green-mountain-transit-adjust-routes-operations/,,,"David Blatt, dblattok@gmail.com",
Burlington,VT,South Burlington Holiday Inn will be Covid-19 recovery site for homeless population,Mayor Miro Weinberger,Quarantines and forced closures,4/12/2020,https://vtdigger.org/2020/04/12/south-burlington-holiday-inn-will-be-covid-19-recovery-site-for-homeless-population/,,,David Blatt dblattok@gmail.com,
Burlington,VT,Mayor outlines plan to move Burlington homeless to campground,Mayor Miro Weinberger,Quarantines and forced closures,,https://www.wcax.com/content/news/Vt-homeless-shelter-creates-plan-to-help--569085451.html,https://citiesspeak.org/2020/04/16/state-of-the-cities-in-the-wake-of-covid-19/,,David Blatt dblattok@gmail.com,
Burlington,VT,"Burlington  Closes Streets to Promote Social Distancing. The city has closed certain roads to through-traffic in more 
densely-settled areas, to provide residents with extra room to walk orrecreate, so they don't jam up the sidewalks.",Mayor Miro Weinberger,Quarantines and forced closures,4/16/2020,https://www.necn.com/news/coronavirus/more-room-to-roam-vt-city-closes-streets-to-promote-social-distancing/2261034/,,,,
Burlington,VT,"Burlington to remove hoops, close tennis courts, playgrounds, dog parks",Mayor Miro Weinberge,Quarantines and forced closures,4/2/2020,https://vtdigger.org/2020/04/02/burlington-to-remove-hoops-close-tennis-courts-playgrounds-dog-parks/,,,David Blatt dblattok@gmail.com,
Burlington,VT,Burlington announced Friday they will be issuing tickets to people not complying with the governor’s stay-at-home directive,Mayor Miro Weinbeger,Elected/public officials,4/3/2020,https://vtdigger.org/2020/04/03/state-outlines-penalties-for-covid-19-distancing-scofflaws/,,,,
Burlington,VT,City Council approves Mayor's request for $1 million to fund COVID-19 response,Mayor Miro Weinberger and Burlington City Council,Elected/public officials,3/23/2020,https://www.burlingtonfreepress.com/story/news/2020/03/23/mayor-burlington-covid-19-center/2903659001/,,,dblattok@gmail.com,
Burlington,VT,"Burlington buys enough fabric for about 21,000 hand-sewn face masks to fight COVID-19",Mayor Miro Weinberger,Quarantines and forced closures,4/2/2020,https://www.burlingtonfreepress.com/story/news/2020/04/02/coronavirus-vermont-face-mask-materials-bought-burlington/5104788002/,,,David Blatt dblattok@gmail.com,
Burlington,VT,Burlington's parks crack down on social distancing measures during COVID-19 pandemic,Mayor Miro Weinberger and Parks Director Cindi Wright,Quarantines and forced closures,4/2/2020,https://www.burlingtonfreepress.com/story/news/local/2020/04/02/coronavirus-burlingtons-parks-cracking-down-social-distancing-covid-19/5115412002/,,,David Blatt dblattok@gmail.com,
California,CA,"Governor Gavin Newsom signed an executive order that will provide tax, regulatory, and licensing extensions for businesses.",Gov. Gavin Newsom,Not sure,3/30/2020,https://www.gov.ca.gov/2020/03/30/governor-newsom-signs-executive-order-providing-relief-to-california-small-businesses/,,,INT,
